country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
China,181,743,623,890,0.054,0.044,0.064,0.256,0.208,0.319
France,3783,85637,74191.97499999999,99220.22499999999,0.242,0.198,0.289,0.057,0.046,0.071
Iran,6906,114867,102018.25,129406.02500000001,0.162,0.149,0.175,0.085,0.074,0.098
Italy,11867,399120,357702.77499999997,447501.67499999993,0.429,0.411,0.448,0.032,0.028,0.036
South_Korea,1028,1038,1028,1151.0249999999996,0.006,0.004,0.009,1,1,1
Spain,5323,235600.5,207573.55,267169.975,0.615,0.549,0.678,0.022,0.019,0.026
United_States_of_America,2518,63226.5,53428,74454.02500000001,0.265,0.199,0.341,0.052,0.04,0.07
