country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Algeria,891,27392,23213.550000000003,32175.025,0.553,0.48,0.623,0.025,0.021,0.03
Argentina,706,5015.5,3945.95,6305.049999999999,0.062,0.041,0.089,0.222,0.152,0.337
Austria,3475,8954.5,7811,10320.025,0.028,0.023,0.033,0.494,0.403,0.611
Belgium,9297,171945.5,153403.15,192934.07499999998,0.239,0.226,0.253,0.057,0.051,0.065
Brazil,6374,67560.5,59858,76467.25,0.155,0.14,0.171,0.089,0.077,0.103
Canada,8496,41048,35784.85,47083.075,0.067,0.058,0.077,0.204,0.171,0.245
China,516,2804,2306.9750000000004,3432.0249999999996,0.051,0.035,0.071,0.271,0.191,0.401
Czech_Republic,1809,4987,4197.975,5866.025,0.041,0.031,0.053,0.335,0.253,0.455
Denmark,1876,17706.5,15338.975,20354,0.146,0.121,0.174,0.094,0.077,0.118
Dominican_Republic,859,21572,18267.899999999998,25261.174999999996,0.127,0.096,0.163,0.108,0.083,0.145
Ecuador,1630,13263.5,11420.975,15366.05,0.119,0.1,0.139,0.115,0.095,0.141
Egypt,449,5062,4060,6281.025,0.159,0.116,0.21,0.086,0.064,0.121
France,31030,581005.5,521370.575,649212.125,0.317,0.309,0.324,0.043,0.039,0.049
Germany,39167,93654.5,83491.85,105171.4,0.036,0.034,0.038,0.383,0.337,0.435
Greece,612,3741,3081,4533,0.089,0.065,0.12,0.154,0.112,0.215
India,2395,20004,16848,23632.05,0.107,0.082,0.136,0.128,0.098,0.172
Indonesia,937,15347,13287.875,17789.024999999998,0.151,0.124,0.182,0.091,0.073,0.114
Iran,20335,160960.5,144078.225,180004.47499999998,0.09,0.085,0.096,0.152,0.135,0.173
Iraq,372,4078,3210,5160.049999999999,0.073,0.041,0.116,0.188,0.118,0.335
Ireland,2189,14385,12476.975,16616.05,0.086,0.071,0.103,0.159,0.129,0.198
Israel,4399,6652,5503,8082,0.019,0.013,0.026,0.727,0.521,1
Italy,32160,391369,350527.425,436368.64999999997,0.141,0.137,0.144,0.098,0.087,0.109
Japan,1578,5687,4453.950000000001,7193.049999999999,0.044,0.027,0.067,0.313,0.203,0.513
Luxembourg,898,1678,1347,2080.0249999999996,0.013,0.007,0.021,1,0.634,1
Malaysia,1163,2496,2048.975,3021,0.029,0.02,0.041,0.472,0.332,0.701
Mexico,1042,10409,8684.975,12438,0.163,0.129,0.202,0.085,0.066,0.11
Morocco,561,12305,10150,14834.174999999997,0.203,0.149,0.266,0.068,0.051,0.094
Netherlands,6865,133033,118855.75,148912.37499999997,0.226,0.214,0.239,0.061,0.054,0.069
Norway,1665,2347,1981,2806.0249999999996,0.02,0.014,0.028,0.677,0.48,1
Panama,900,6225,5121.9749999999995,7475,0.064,0.044,0.089,0.214,0.151,0.318
Peru,1075,9727,8134,11601.025,0.165,0.128,0.206,0.084,0.065,0.11
Philippines,2019,33886,28858.975,39736.299999999996,0.168,0.135,0.204,0.082,0.066,0.104
Poland,1989,9611,8138.95,11349.05,0.079,0.061,0.098,0.175,0.137,0.231
Portugal,5354,38852,34204.875,44330.54999999999,0.068,0.058,0.078,0.203,0.17,0.244
Romania,2161,28318,24567.9,32649,0.166,0.139,0.194,0.083,0.068,0.102
South_Korea,654,2546,2112,3067.0249999999996,0.045,0.031,0.061,0.307,0.221,0.447
Spain,52488,978028,876465.575,1090614.3,0.177,0.173,0.181,0.078,0.069,0.087
Sweden,2996,41654,36800,47250.274999999994,0.22,0.197,0.243,0.063,0.054,0.073
Switzerland,7337,33907,30224.9,38233.325,0.067,0.061,0.074,0.204,0.178,0.235
Turkey,16532,199091,176836.825,224313.025,0.131,0.119,0.144,0.105,0.091,0.121
United_Kingdom,24814,734059.5,656695.1499999999,819618.8,0.433,0.422,0.444,0.032,0.028,0.036
United_States_of_America,187572,1588064.5,1421629.1749999998,1772620.075,0.101,0.099,0.104,0.136,0.121,0.152
