country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
China,504,3639,3077,4292.025,0.146,0.115,0.181,0.094,0.074,0.122
France,9960,152743.5,135690.475,172230.82499999998,0.22,0.203,0.238,0.063,0.055,0.071
Germany,17668,40102,33210.925,48553.1,0.036,0.028,0.046,0.381,0.293,0.505
Iran,7881,86737,77371.65,97331.125,0.154,0.145,0.163,0.089,0.079,0.101
Iraq,129,1299,841,1940.0249999999996,0.208,0.102,0.349,0.066,0.039,0.135
Italy,35828,955520.5,856982.65,1069855.4,0.351,0.342,0.361,0.039,0.035,0.044
Japan,266,1229.5,939.975,1581,0.048,0.027,0.076,0.29,0.179,0.52
Netherlands,2672,41397,35940.850000000006,47926.100000000006,0.26,0.223,0.301,0.053,0.044,0.064
Philippines,269,12284,9845.975,15100.074999999999,0.414,0.283,0.559,0.033,0.024,0.049
South_Korea,735,747,735,810,0.014,0.01,0.02,0.975,0.686,1
Spain,19173,874999.5,783580.35,978718.55,0.493,0.473,0.513,0.028,0.025,0.031
Switzerland,4718,24531.5,20038.95,30088.1,0.069,0.051,0.09,0.199,0.149,0.272
United_Kingdom,3878,119942.5,105822.72499999999,136473.25,0.483,0.436,0.53,0.028,0.025,0.033
United_States_of_America,23796,348458,307788.8,395822.69999999995,0.222,0.199,0.245,0.062,0.053,0.072
